station_name,station_id,wrcc_id,latitude,longitude,elevation,summary_date,observation_type,temperature_min,temperature_max,relative_humidity_min,relative_humidity_max,wind_speed_min,wind_speed_max,peak_gust_speed_min,peak_gust_speed_max,peak_wind_gust_time,solar_radiation_max,daily_precipitation_total,snow_flag
MOUNT LOGAN,20107,AMTL,36.35306,-113.19917,7605,8/22/2026,F,64,82,20,37,6,10,11,24,,915,0.0,N
MULESHOE RANCH,21007,AMUL,32.40383,-110.272,4475,8/22/2026,F,73,99,16,44,2,6,6,17,,978,0.0,N
MUSIC MOUNTAIN,20119,AMUS,35.61497,-113.79428,5375,8/22/2026,F,71,96,15,33,5,14,9,24,,733,0.0,N
NAVAJO MONUMENT,20307,ANAV,36.67667,-110.54389,7204,8/22/2026,F,61,87,18,55,5,9,8,15,,724,0.0,N
NEVERSHINE,55522326,ANEV,36.24753,-113.88851,2165,8/22/2026,F,85,107,11,24,6,13,8,16,,916,0.0,N
NIXON FLATS,20113,ANIX,36.38833,-113.15806,6500,8/22/2026,F,61,87,17,48,2,7,5,19,,903,0.0,N
NOON CREEK,21010,ANOO,32.66778,-109.78806,4925,8/22/2026,F,72,100,13,38,3,8,5,15,,982,0.0,N
OAK CREEK,20219,AOAK,34.94686,-111.75444,4804,8/22/2026,F,69,98,16,44,2,3,7,14,,791,0.0,N
OAK FLATS,291402,XOAK,35.00614,-106.31583,7675,8/22/2026,F,59,88,19,62,3,10,5,15,,969,0.0,N
OATMAN,21502,AOAT,33.04994,-113.13867,1715,8/22/2026,F,88,111,17,39,3,14,6,25,,902,0.02,N
OLAF KNOLLS,20108,AOLA,36.50725,-113.81589,2974,8/22/2026,F,82,105,11,23,6,11,11,24,,934,0.0,N
PADUCA,293202,XPAD,32.17983,-103.722,3534,8/22/2026,F,73,100,16,46,6,14,7,23,,962,0.0,N
PARIA POINT,20226,APAR,36.72753,-111.822,7106,8/22/2026,F,67,88,18,39,2,6,7,16,,805,0.0,N
PAYSON,20602,APAY,34.24614,-111.2935,5064,8/22/2026,F,68,95,22,53,2,6,6,14,,870,0.0,N
PECOS,291202,XPEC,35.54558,-105.49439,8229,8/22/2026,F,60,84,20,53,3,15,5,21,,948,0.04,N
PELONA MOUNTAIN,292009,XPEL,33.69375,-108.06161,7955,8/22/2026,F,59,83,22,56,2,9,3,13,,916,0.02,N
PICACHO PEAK,55522341,APIC,32.66314,-111.42154,1750,8/22/2026,F,81,104,16,41,3,7,5,13,,918,0.0,N
PINE,20612,APNE,34.37181,-111.4555,5313,8/22/2026,F,68,94,21,48,2,6,7,14,,800,0.0,N
PINEDALE,55522344,APND,34.30617,-110.23661,6461,8/22/2026,F,65,89,23,50,3,6,6,14,,866,0.04,N
PINEY HILL,20402,APIN,35.76111,-109.16719,8061,8/22/2026,F,61,81,24,56,2,6,5,13,,756,0.04,N
