station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
MILLS CANYON,291101,XMIL,36.05453,-104.32511,5881,2026-08-23T05:05:54.000Z,2026-08-22T22:05:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,537,10.62,11.44,10.19,12.4,13.74,2.45,41.51,25.25,30.0,60.0,0.09,0
PECOS,291202,XPEC,35.54558,-105.49439,8229,2026-08-23T05:14:04.000Z,2026-08-22T22:14:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,79,33.76,20.64,12.48,12.71,0.0,0.0,22.98,0.0,47.65,71.23,0.36,0
BRUSHY MOUNTAIN,291301,XBRU,34.72,-107.8484,8789,2026-08-23T04:49:44.000Z,2026-08-22T21:49:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,209,14.04,18.19,13.23,14.42,4.87,1.79,29.45,18.66,65.09,82.33,0.41,0
GRANTS,291302,XGRA,35.24278,-107.66528,8620,2026-08-23T05:16:24.000Z,2026-08-22T22:16:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,124,13.94,12.26,15.05,15.2,3.78,1.03,29.21,14.39,81.44,92.73,0.46,0
OAK FLATS,291402,XOAK,35.00614,-106.31583,7675,2026-08-23T05:04:04.000Z,2026-08-22T22:04:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,450,12.99,8.93,12.19,13.01,5.1,1.11,38.24,16.91,30.0,60.0,0.15,0
SANDIA LAB,291408,XSLB,35.00406,-106.41148,6321,2026-08-23T04:53:34.000Z,2026-08-22T21:53:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,258,10.72,7.87,10.01,10.65,10.31,1.55,48.14,21.9,30.0,60.0,0.11,0
MOUNTAINAIR,291501,XMOU,34.52081,-106.26269,6593,2026-08-23T05:05:54.000Z,2026-08-22T22:05:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,468,20.3,18.22,11.72,12.96,0.47,0.79,30.37,12.95,30.0,60.0,0.08,0
MELROSE RANGE,291901,XMEL,34.28422,-103.71497,4263,2026-08-23T05:14:11.000Z,2026-08-22T22:14:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,651,7.75,5.8,9.45,10.15,32.61,4.54,53.45,37.64,30.0,60.0,0.0,0
BEAVERHEAD,292001,XBEA,33.42353,-108.11019,6750,2026-08-23T05:08:14.000Z,2026-08-22T22:08:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,177,16.23,15.93,16.96,17.45,1.98,0.96,21.23,12.04,30.0,60.0,0.23,0
LUNA,292004,XLUN,33.82289,-108.94311,7088,2026-08-23T05:07:14.000Z,2026-08-22T22:07:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,259,20.65,16.12,18.08,18.09,0.29,0.61,17.59,8.98,30.0,60.0,0.29,0
