station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
BATDRAW,293101,XBAD,32.17861,-104.44056,4425,8/23/2026 15:00 MDT,8/23/2026 15:52 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,566,3.88,5.64,7.04,8.17,70.2,5.4,65.44,44.74,30.0,60.0,0.0,0
CAPROCK,293104,XCAP,32.92728,-103.85689,4167,8/23/2026 15:40 MDT,8/23/2026 15:40 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,493,3.63,5.43,7.48,8.81,73.6,5.55,63.17,44.57,30.0,60.0,0.0,0
QUEEN,293105,XQUN,32.20361,-104.69031,5642,8/23/2026 16:00 MDT,8/23/2026 16:13 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,241,3.83,5.92,8.04,10.0,69.6,5.42,58.22,42.46,30.0,60.0,0.0,0
PADUCA,293202,XPAD,32.17983,-103.722,3534,8/23/2026 15:39 MDT,8/23/2026 15:39 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,605,3.49,5.7,7.96,8.91,68.51,4.07,62.2,38.38,30.0,60.0,0.0,0
MALPAIS LAVA FLOW,293301,XMAL,34.85181,-108.17461,7514,8/23/2026 16:00 MDT,8/23/2026 16:25 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,180,5.61,9.4,15.12,16.18,42.08,3.56,32.67,26.84,30.0,60.0,0.27,0
BLUEWATER RIDGE,293303,XBLR,35.19411,-108.16336,8274,8/23/2026 16:00 MDT,8/23/2026 16:05 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,213,6.33,9.19,12.5,13.43,30.13,2.37,40.76,24.64,82.82,93.61,0.47,0
LAGUNA,293304,XLAG,35.05197,-107.42028,5805,8/23/2026 15:33 MDT,8/23/2026 15:33 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,546,34.96,15.12,9.89,10.12,0.0,0.0,31.51,0.0,30.0,60.0,0.01,0
RAMAH,293305,XRAM,34.81947,-108.29439,7645,8/23/2026 15:34 MDT,8/23/2026 15:34 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,313,5.47,9.12,13.76,15.47,49.24,4.57,35.49,31.28,30.0,60.0,0.27,0
10K,55522198,X10K,35.2085,-106.43586,10065,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,206,7.92,11.59,13.01,13.75,19.92,1.94,37.41,21.59,135.34,127.04,0.64,0
BAKERS TANK,55522210,AHBB,32.61528,-114.00836,563,8/23/2026 16:00 MDT,8/23/2026 16:07 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,740,4.37,5.15,6.77,7.69,58.74,3.73,67.38,38.28,30.0,60.0,0.0,0
